Cadet grey
Naples yellow
Medium orchid
Quartz
Medium purple
Capri
Burgundy
Office green
Screamin' Green
Fuchsia rose
Carolina blue
Dartmouth green
Cocoa brown
Dark sea green
Blond
Battleship grey
Harvard crimson
Ecru
Rufous
Electric lavender
Periwinkle
Blush
Cobalt
Unmellow Yellow
Pale red-violet
Hex triplet
Taupe
Raspberry
Ultra pink
Purple
Royal fuchsia
Byzantium
Copper penny
Rose madder
Almond
Prussian blue
Lemon lime
Pastel brown
Dark powder blue
Tea rose
Heliotrope
Sap green
Carnelian
Dark magenta
Lavender mist
Vivid cerise
Rich carmine
Light fuchsia pink
Vegas gold
Copper rose
Medium electric blue
Electric lime
Pale spring bud
La Salle Green
Baby blue
Ceil
Smalt
Bone
Persian plum
Lavender blush
Bittersweet
Field drab
Tangerine
True Blue
Bittersweet shimmer
Ruby
Dark coral
Brass
Bole
Cambridge Blue
Dark slate blue
Deep jungle green
Mordant red 19
Banana yellow
Guppie green
Pink Sherbet
Dark candy apple red
Android Green
Banana Mania
Lilac
Sacramento State green
Cornell Red
Blue Gray
Lime green
Rich black
Midnight blue
Chestnut
Seashell
Deep pink
Cadmium green
Electric indigo
Blue Bell
Pale taupe
Thulian pink
Chrome yellow
Toolbox
Rose
Cherry blossom pink
Rose quartz
Fawn
Sapphire
Moss green
Blast-off bronze
Amethyst
Fashion fuchsia
Indian yellow
Cherry
Falu red
Black
Electric green
Napier green
Big dip o’ruby
Ocean Boat Blue
Alloy orange
Tumbleweed
Charm pink
Teal
Peach puff
Rose ebony
Skobeloff
Dark jungle green
Electric crimson
Medium carmine
Ash grey
Light khaki
Medium candy apple red
Pakistan green
British racing green
Ball Blue
Rubine red
Tan
Raw umber
Brandeis blue
Beaver
Medium turquoise
Medium spring green
Medium vermilion
Regalia
Eggshell
Light sea green
Royal blue
Peach
Papaya whip
Pale magenta
Light sky blue
Navy blue
Rosy brown
Ruddy
Cerulean frost
Turquoise green
White
Cream
Bondi blue
Fuchsia pink
Dollar bill
Bright turquoise
Fulvous
Old gold
Tyrian purple
Burnt umber
